site_name,bandwidth
A,5088
B,6191
C,7294
D,8397
E,9500
Dn,10603
P,11706
Q,12809
V,13912
Y,15015
b,16118
d,17221
i,18324
m,19427
q,20530
4,33000
5,35200
7,37400
9,39600
AD,41800
AF,44000
AG,46200
AJ,48400
Do,50600
AS,52800
AV,55000
Ab,57200
Dp,59400
Dq,61600
Ag,63800
Ak,66000
Ao,68200
Ar,70400
Av,72600
Ax,74800
Ay,77000
Az,79200
A1,81400
A3,83600
Dr,85800
A7,88000
BC,90200
BE,92400
BM,94600
BN,96800
BR,99000
BV,101200
BW,103400
Bb,105600
Be,107800
Dt,110000
Bh,112200
Bo,114400
Br,116600
Bt,118800
Bv,121000
Bx,123200
B0,125400
B7,127600
B8,129800
CB,3000
CF,3808
CG,4616
CH,5424
CK,6232
CP,7040
CS,22528
CT,24616
CZ,26704
Cb,28792
Ce,30880
Cg,32968
Du,35056
Cq,37144
Cs,39232
Cz,41320
C1,43408
C4,45496
C5,47584
C8,49672
C9,51760
DA,53848
DD,55936
DE,58024
DF,60112
DJ,62200
DK,64288
Dv,66376
DN,68464
DP,70552
DU,72640
DV,74728
DW,76816
Dw,78904
DZ,80992
Db,83080
Dh,85168
Dx,87256
Dj,89344
Dm,91432
